family,case,run_dir,config,slurm,analysis_dir,status,notes
global_direct,alpha075_beta0_mu0,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_AmpPhase_alpha075_beta0_mu0_global_direct_t5/run_20260616-131117_492824,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_case_alpha075_beta0_mu0_global_direct_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_amp_phase_alpha075_beta0_mu0_global_direct_t5_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/global_direct/alpha075_beta0_mu0,frozen_no_relaunch,physics-only single-case mononet frozen as-is; do not relaunch; solver used only for evaluation
global_direct,alpha075_beta0_mu1,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_AmpPhase_alpha075_beta0_mu1_global_direct_t5/run_20260616-131117_492825,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_case_alpha075_beta0_mu1_global_direct_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_amp_phase_alpha075_beta0_mu1_global_direct_t5_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/global_direct/alpha075_beta0_mu1,frozen_no_relaunch,physics-only single-case mononet frozen as-is; do not relaunch; solver used only for evaluation
global_direct,alpha075_beta05_mu0,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_AmpPhase_alpha075_beta05_mu0_global_direct_t5/run_20260616-131124_492826,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_case_alpha075_beta05_mu0_global_direct_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_amp_phase_alpha075_beta05_mu0_global_direct_t5_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/global_direct/alpha075_beta05_mu0,frozen_no_relaunch,physics-only single-case mononet frozen as-is; do not relaunch; solver used only for evaluation
global_direct,alpha075_beta05_mu1,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_AmpPhase_alpha075_beta05_mu1_global_direct_t5/run_20260616-131124_492828,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_case_alpha075_beta05_mu1_global_direct_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_amp_phase_alpha075_beta05_mu1_global_direct_t5_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/global_direct/alpha075_beta05_mu1,frozen_no_relaunch,physics-only single-case mononet frozen as-is; do not relaunch; solver used only for evaluation
global_curriculum,alpha075_beta0_mu0,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_AmpPhase_alpha075_beta0_mu0_tchar_t5/run_20260616-131124_492829,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_case_alpha075_beta0_mu0_tchar_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_amp_phase_alpha075_beta0_mu0_t5_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/global_curriculum/alpha075_beta0_mu0,frozen,physics-only single-case mononet; solver used only for evaluation
global_curriculum,alpha075_beta0_mu1,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_AmpPhase_alpha075_beta0_mu1_tchar_t5/run_20260616-131124_492830,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_case_alpha075_beta0_mu1_tchar_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_amp_phase_alpha075_beta0_mu1_t5_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/global_curriculum/alpha075_beta0_mu1,frozen,physics-only single-case mononet; solver used only for evaluation
global_curriculum,alpha075_beta05_mu0,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_AmpPhase_alpha075_beta05_mu0_tchar_t5/run_20260616-131124_492831,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_case_alpha075_beta05_mu0_tchar_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_amp_phase_alpha075_beta05_mu0_t5_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/global_curriculum/alpha075_beta05_mu0,frozen,physics-only single-case mononet; solver used only for evaluation
global_curriculum,alpha075_beta05_mu1,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_AmpPhase_alpha075_beta05_mu1_tchar_t5/run_20260616-131123_492832,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_case_alpha075_beta05_mu1_tchar_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_amp_phase_alpha075_beta05_mu1_t5_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/global_curriculum/alpha075_beta05_mu1,frozen,physics-only single-case mononet; solver used only for evaluation
local_mononet,alpha075_beta05_mu0_t1,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_LocalMononet_PhysicsOnly_AmpPhase_alpha075_beta05_mu0_t1/run_20260617-103730_534206,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_single_case_local_physics_mononet_amp_phase_alpha075_beta05_mu0_t1.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_local_physics_mononet_amp_phase_case_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/local_physics_only/alpha075_beta05_mu0_t1,frozen_no_relaunch,physics-only local mononet single-case frozen as-is; do not relaunch; solver used only for evaluation
local_mononet,alpha075_beta05_mu0_t5,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/results/CGL_LocalMononet_PhysicsOnly_AmpPhase_alpha075_beta05_mu0_t5/run_20260617-103834_534211,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/configs/cgl_single_case_local_physics_mononet_amp_phase_alpha075_beta05_mu0_t5.yaml,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/launch/jz_submit_CGL_local_physics_mononet_amp_phase_case_20h.slurm,/Users/emma.grospellier/Thèse/These_DeepOnet_CGL/analyses/single_case/local_physics_only/alpha075_beta05_mu0_t5,frozen_no_relaunch,physics-only local mononet single-case frozen as-is; do not relaunch; solver used only for evaluation
